artist_name,release_name,song_name
Zevna,"Directo Al Espacio","Directo Al Espacio"
"Manas Beri","Charge Hoja","Charge Hoja"
"Julión Álvarez Y Su Norteño Banda","En Vivo","La Niña (Versión Album)"
"Julión Álvarez Y Su Norteño Banda","En Vivo","El Bombón (Versión Album)"
"Julión Álvarez Y Su Norteño Banda","En Vivo","Márchate (Versión Album)"
"Julión Álvarez Y Su Norteño Banda","En Vivo","Olvídame (Versión Album)"
"Julión Álvarez Y Su Norteño Banda","En Vivo","Ella (En Vivo)"
"Julión Álvarez Y Su Norteño Banda","En Vivo","El Rey (En Vivo)"
"Julión Álvarez Y Su Norteño Banda","En Vivo","Manos Arriba (En Vivo)"
"Julión Álvarez Y Su Norteño Banda","En Vivo","Amantes De Media Noche (En Vivo)"
"Julión Álvarez Y Su Norteño Banda","En Vivo","De Diciembre (En Vivo)"
"Julión Álvarez Y Su Norteño Banda","En Vivo","Terrenal (En Vivo)"
"Julión Álvarez Y Su Norteño Banda","En Vivo","Márchate (En Vivo)"
"Julión Álvarez Y Su Norteño Banda","En Vivo","El Bombón (En Vivo)"
"Julión Álvarez Y Su Norteño Banda","En Vivo","La María (En Vivo)"
"Julión Álvarez Y Su Norteño Banda","En Vivo","Ni Lo Intentes (En Vivo)"
"Julión Álvarez Y Su Norteño Banda","En Vivo","Y Tú (En Vivo)"
"Julión Álvarez Y Su Norteño Banda","En Vivo","Olvídame (En Vivo)"
"Julión Álvarez Y Su Norteño Banda","En Vivo","Introducción (En Vivo)"
"Sanduck Villas","Te Querendo","Te Querendo"
"Sanduck Villas","Euba (Cuba Libre)","Euba (Cuba Libre)"
"David Alonso Rodriguez","Baila Conmigo ","Baila Conmigo "
"Nilanjan Roy","Amargan 3","Amargan 3"
"The Vimc","Yo Quiero Tenerla","Yo Quiero Tenerla "
"The Vimc","No Aguanto Las Ganas","No Aguanto Las Ganas"
"Saul El Jaguar Alarcón",Evidencias,Evidencias
"David Guillen","Balada Para Alexander","Balada Para Alexander"
"Compositor David Guillen",ALEXANDER,Alexander
"Ashean Mar","Caleidoscopio Angelical","Holy Mantle (Manto Sagrado)"
"Moncholo La Vainilla","Puerto Rico","Puerto Rico"
"Osmany Martinez",Luzardo,"El Camino Que Quieras"
"Dlcd Records","No Hablamos","No Hablamos"
McniestroMX,"Chill & Rap","Chill & Rap"
"Coxhi Music",Contigo,Contigo
"DJ Travesura","Guaracha Mix","Freddy Viene Por Ti"
"DJ Travesura","Guaracha Mix","Guaracha Loca "
"DJ Travesura","Guaracha Mix","Welcome to the Party "
"DJ Travesura","Guaracha Mix","Tá Trancada "
"DJ Travesura","Guaracha Mix","Sensual Beats"
"DJ Travesura","Guaracha Mix","Quiero Fumar Marihuana "
"DJ Travesura","Guaracha Mix","Que Le Meta Duro"
"DJ Travesura","Guaracha Mix","Que Todos Brinquen "
"DJ Travesura","Guaracha Mix","Que Comience La Fiesta "
"DJ Travesura","Guaracha Mix","Guaro Perico Popper Tusi"
"DJ Travesura","Guaracha Mix","Guaracha Parce  "
"DJ Travesura","Guaracha Mix","Aleteo Zapateo Loco "
BESS,,"El Día Perfecto"
"Darlin aquino",Instrumental,"Darl - Trap Pop "
"Yiyo Sarante",Probablemente,"y2mate.com - Yiyo Sarante -Probablemente (Letras) (online-audio-converter.com)"
"Keiken Blash","Reggaeton De La Mata","Club (Instrumental)"
"Antony Santos","Hay Mujer","Ay Mujer (1993)"
"Maxi Medina","Mix Cachengue #5","Mix Cachengue #5"
Julius,"Un Solo Amor","Un Solo Amor"
"Tommy G","Baby Baby Baby","Baby Baby Baby"
"DJ FALON","El Problema","El Problema"
"Enyel Jr ",Safari,"Safari Enyel Jr (Online Audio converter.com)"
"KUERPO ASTR4L","Mantra Relajacion","Mantra Relajacion"
"Marcos De Luca","Gauchito Antonio Gil",Hiperespacio
"Marcos De Luca","Gauchito Antonio Gil","Vestido De Fortuna Y Armonia Salgo Vestido De"
"Marcos De Luca","Gauchito Antonio Gil","Campo Adentro"
"Marcos De Luca","Gauchito Antonio Gil","Cinta Roja"
"Marcos De Luca","Gauchito Antonio Gil","Dorada Fortuna Soy Afortunado"
"Marcos De Luca","Gauchito Antonio Gil","Riquezas Y Amor"
